Model,HUB Perplexity,HUB WER,Parameters
quadgram,509.08240047316616,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.21000000000000002
quadgram,508.729012120701,0.07091737150292778,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.22000000000000003
quadgram,508.9724526054042,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.23000000000000004
quadgram,509.8431415028224,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.24000000000000005
quadgram,511.3842497915011,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.25000000000000006
quadgram,513.6544841989239,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.26000000000000006
quadgram,516.7321523721187,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.2700000000000001
quadgram,520.7211140061232,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.2800000000000001
quadgram,525.7596197271139,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.2900000000000001
quadgram,532.0337491026555,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.3000000000000001
quadgram,539.7984921711205,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.3100000000000001
quadgram,549.4121671931074,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.3200000000000001
quadgram,561.3954894390869,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.3300000000000001
quadgram,576.5395469740479,0.06441119063109954,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.34000000000000014
quadgram,596.119919745614,0.06376057254391672,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.35000000000000014
quadgram,622.3701909321649,0.0631099544567339,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.36000000000000015
quadgram,659.7039960518985,0.0631099544567339,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.37000000000000016
